variable,degree,in_degree,out_degree,betweenness,closeness
p22_02,27,23,4,26.98690476190476,1
p15_06,23,10,13,63.082539682539675,0.6470588235294118
p05_04,22,9,13,33.25396825396825,0.5365853658536586
p14_08,22,19,3,6.000396825396826,1
socioemotional_learning,21,0,21,0,0.7058823529411765
p09_12,20,8,12,25.136904761904763,0.6216216216216216
p14_03,20,10,10,19.868253968253967,0.5789473684210527
p21_03,20,13,7,27.729761904761904,0.4489795918367347
p23_08,19,3,16,23.910714285714285,0.6153846153846154
p23_07,19,3,16,24.77698412698413,0.6136363636363636
p24_02,19,4,15,23.409920634920635,0.5740740740740741
p14_01,19,11,8,22.849603174603175,0.8333333333333334
p24_03,19,14,5,49.43214285714286,0.4583333333333333
p05_07,19,16,3,4.62579365079365,0.7142857142857143
p14_02,18,16,2,3.5785714285714287,1
p05_02,18,18,0,0,NA
p08,17,1,16,0.47619047619047616,0.5396825396825397
p05_08,17,0,17,0,0.66
p07,17,4,13,15.326984126984126,0.55
p10_04,17,16,1,0.8857142857142857,0.4
p26_06,16,4,12,44.17738095238096,0.62
p24_07,16,11,5,20.083333333333332,0.3793103448275862
p10_13,16,10,6,10.808730158730159,0.75
p14_07,16,16,0,0,NA
p09_07,15,5,10,5.848015873015873,0.5652173913043478
p15_07,15,7,8,7.667460317460318,0.5641025641025641
p12_09,15,6,9,12.327777777777776,0.45098039215686275
p09_09,15,9,6,4.792460317460317,0.38596491228070173
p10_12,15,11,4,10.213095238095239,0.6428571428571429
p10_14,15,14,1,9.101190476190476,0.5555555555555556
academic_lang,14,1,13,4.95,0.6
academic_math,14,1,13,2.2,0.5806451612903226
p26_03,14,4,10,10.337698412698412,0.5254237288135594
p13_06,14,7,7,6.519047619047619,0.4807692307692308
p15_04,14,9,5,94.01349206349207,0.5
p26_05,13,3,10,10.628571428571428,0.5333333333333333
p15_03,13,5,8,35.42857142857143,0.6111111111111112
p13_08,13,10,3,12.833333333333332,0.47368421052631576
p26_04,11,3,8,4.545634920634921,0.49206349206349204
p24_05,11,5,6,3.192857142857143,0.44
